id,ancestor_id,parent_id
00001756c60be8,945aea18,
00015c83e2717b,aa2da37e,317b65d12af9df
0001bdd4021779,a7711fde,
0001daf4c2c76d,090152ca,
0002115f48f982,272b483a,
00035108e64677,a41da3f9,
00038c2941faa0,32614c86,
00039fc77a9dd1,dab46c7b,
00058dc97eae4b,c54154f7,
000597ac4c6700,81ab937c,
000624d747afd3,55fbe5b5,
00062ab8487156,de362dd8,
000757b90aaca0,ff3e6f37,
0007f21ee357b5,5d4bdf92,
000890decea38e,69cbd2a3,
0008ba887b3817,bde84293,ed1c7969a2900a
0009acaa9aa47e,5e355602,
000a2f5243e1ca,ae9b5889,
000a4651cce8f4,4db21994,
000af347c31e72,e94552a4,b20d828276f2af
000b8e6d58544b,51a8da23,13cdc805ee5af1
000bbb79a2fe3c,8431f3e8,
000c0a9b2fef4d,a2e47ece,
000c1e0e45bb25,6e25ece1,
000c51e382b3b0,672658f0,fa137277473c8c
000d42a8319226,a5a1a95a,
000e671b3324e2,db27dfa2,017b79ae175b2a
000eafa6f0625b,1b881fd9,d2f1296c57807d
000efd285fb982,389f14ff,
000f11fc6add8b,6e110bc1,
000f77eceb3425,0e1efc27,
000fce1d6fbb6a,b2f39261,
000fd3cf2a562b,ec66e0fa,f3a374ef4e5717
00103dc8bd5781,cba3c1cd,
0010adf10cf27c,0733ffb7,
001106f5f235f6,ac35f431,ca743ee8531539
00116ebc2a301c,bdf05719,8b6813106cec0a
001170f636467f,e60cd6c5,
001273ee5a9ff1,39cb4aa2,
0012865b766949,1ee1a1c4,
00129737627040,cf5fa913,2b66f95302d6ec
0012c5ac5df603,2fa6cca0,
001308991e0c5e,c5fbea8e,
0013a8634c4d8a,a4c43c1d,
00141a6da9e08b,40f3dbfa,
00150fef662e5a,2b441d01,
001538dc5c3e64,96d2ff61,
0015b3a7b1d090,f9c9ddcc,
0015b3df67baa0,faa52025,
00165356bcdf08,62d02adb,
00167389175a48,c93529ed,
0017062cc1b4ca,88c3494d,00b4c1b476d136
0017293dbeee44,008ae8a6,
001731e6293f86,7ac37b98,
001770d270623b,e400dbcc,
00181d9eb98d2c,35c59818,
00188ba74fbff0,02f93738,
0018c719772498,0082b509,
00197a71563de8,05438bec,
0019c0de64fe80,47566b8b,8e848ffeededab
001ac464b8662b,eb7dd5fc,
001b382f2f0177,7dacdd86,89f867b6d06466
001c0599b0a3e5,03ffe0ab,64d2c5a1894e18
001c899e8b3956,47e426fc,
001cacac832446,884ab838,
001d9ceb7acac8,96d83ca7,
001ec2d0589396,530b7d3d,
001f67f7a77619,a4642fa9,
0020e93727e09c,dac65763,2d6a624fe03fe1
002132326fc1cd,c11ea616,
0021519e118320,46bc9f7a,
002174868cc3e3,560ad6e4,
00229481042560,6ff4f1b6,
0023886d8f785a,409fba35,
00238f736cba12,4b6b15ed,
0023ef332a29ef,54fa5f0d,
0023fe53ace4bb,350545d2,105b5ed04f3dbc
0024386b1eb890,77a13d40,
0024f1aef140c8,930a7185,
0024fbee1e3862,631895f9,
002513bfd8c110,89fb1ce9,000712ed532715
002685ccff2551,ffc17365,433a556268d1fd
0026ce20e23778,2ebb3dce,
00272b41bca511,570087e1,d3ee56f11a0b0f
00275db0185bb5,f78ef9f6,
0027ca9678d799,47ce1491,
0027dc9963d6d0,ad419660,
0027f0f31ddc9e,90e96a75,
0028a3c1f488a2,790cb462,26be5b8a2f5c67
0028d10c40d18c,76823454,
00290ddf866418,2bea41fb,
00292cd88cc58c,5a1999fc,
0029a37d79568a,4f3f39e4,f1b6dfe90fe728
002a7e38df5f0c,5f31f8ad,be34cfc463e769
002ac47e6a9adb,1e3bcca5,
002aed65301beb,4136f24d,
002b5d330ee1ec,7cc203ad,
002ba502bdac45,4f370406,8c1ea3e732a7eb
002bbeec78c962,f31585a0,
002bcc9e2f9077,f0446ffd,
002c8332629fcc,ef8429a8,
002ccfbc7b137e,7baeadf3,
002d93ddca8c5d,d0cda2e5,
002e3a89c95d98,3c455e38,
002e8d4d495b57,2b5dba99,
002eaa5950cdc4,88dfaed1,
002ec072258218,a3b271d8,
002ee0889099e2,e7d6904d,6e5530251c5ee6
002f0f05332e11,9b42cc6f,
002f895d088a9e,de1c123a,
0030ea6c6281ce,20d1824e,
003108bd905ac2,572ebcee,
0031bd3a5f3193,3251a0b9,ea052b3db6b8ec
00323e321cd72e,cee89051,
00329f8d0e71b2,31f397e4,
0032b483ebaf5a,c9bdbd17,
0032fd9f1b33ef,f9dd6908,
00337e0a2d916a,fccb3b6f,
003387e4d35cd9,eb33b427,
0033f8634a571d,f993ac9e,
003451a9ec1c3c,60bf6a15,
0034da1ddafc6d,6f09f202,
0035bf6f9e264f,f9597ae9,
0035e72f9b3c02,86aaf838,c062ce1246fb51
0035f3bc8fb802,f20a3dcd,
003637a72fb8de,894a6f59,
00368ee6485466,410ff8de,
0036ba168e0563,d1bef49c,d4d4283774ed1d
00375d945c66b2,8f6a0805,a7d9d21a7a6af5
0037612f0f2927,a29bba77,
003926b12d6663,cb0b5057,cf542949eb6360
00395fcb1077e7,530a8309,45918804c93c20
003ae678cc93ae,b27659b4,
003caa1716cdd1,6ef2d9bd,85e806d9bf0af6
003d4fa90728c9,4863b61a,
003d5abd1f99a5,3dc45631,
003d841bfeff7e,e68d059e,
003e0bf5e17613,740a289e,
003e3ee8cf5b0e,11e37b1b,
003e940df438fb,1a9b9c6e,
003ea3c79d1397,00de844c,
003f2207bd8a30,4a563adc,
003f36ab2c577d,8508be37,3bde8d65a3508b
003f381e4fc8c3,15b44ce8,
00401bc0f47ed1,b7feb367,
0041d2ff5a1acc,efa81e58,
0044804b2c920b,66c86521,
0045f3301bb72e,a0fd66bf,
00466a86566d60,544fd39f,
0046c5d426cb3e,8fb204d9,
0046d705faaf1b,9a346ca1,
0046ee5c38d812,607ffe1b,
004747662ff100,11d38e74,2f1c6cb6315087
00475afd7b49e4,88b3b0b0,
00477f3a65ce32,3e4383b5,
00478fd20787a7,10825cdb,
0047ffdc7149b7,98f80a1f,
0048f2cacd521f,2b1d9840,
0049a4c97dd4b0,04cf6ae0,
004a132ff07444,e0915ec0,
004bd7bd8fac95,da15a6bd,
004c4d178e4651,61ffd71d,
004cb6f938f375,bfca35c6,
004ccc11d04b4c,5a0e2141,
004d12fbcc887d,62a5f93e,
004d1c9464f8e8,1bdb6d35,5596977b7e5fca
004e4deb359c06,b7c41f09,
004e586c02cc09,c9cdeaca,
004ecf990086e2,87719c4c,
004f5132c0b01c,2996552d,4f24ba6703c461
00504c511c1476,b427b333,
0051f025cdcb0c,88652a43,
00525bcf4bcc10,861dc9aa,
00530f4f7b7b07,5cc2b1f0,
0053491c57c957,56e29627,
0053ad7d91e76b,bdc4c4eb,8b6a85bb5079aa
0053da4bcc9c9a,449f9540,
0053efd2642b5c,a41da407,
