id,anchor,target,context,score
37d61fd2272659b1,abatement,abatement of pollution,A47,0.5
7b9652b17b68b7a4,abatement,act of abating,A47,0.75
36d72442aefd8232,abatement,active catalyst,A47,0.25
5296b0c19e1ce60e,abatement,eliminating process,A47,0.5
54c1e3b9184cb5b6,abatement,forest region,A47,0
067203128142739c,abatement,greenhouse gases,A47,0.25
061d17f04be2d1cf,abatement,increased rate,A47,0.25
e1f44e48399a2027,abatement,measurement level,A47,0.25
0a425937a3e86d10,abatement,minimising sounds,A47,0.5
ef2d4c2e6bbb208d,abatement,mixing core materials,A47,0.25
4c3f2750e7540ab7,abatement,multi pollution abatement device,A47,0.5
84261a11e5d1b68b,abatement,noise reduction,A47,0.5
bfd7270f57530991,abatement,pollution abatement,A47,0.5
b3832eac81b73dfd,abatement,pollution abatement incinerator,A47,0.5
9001756895ec8ca1,abatement,pollution certificate,A47,0
cc96541d4987b399,abatement,rent abatement,A47,0
deb9204cd9783e8b,abatement,sorbent material,A47,0.25
45db77f26e5ac39f,abatement,source items pollution abatement technology,A47,0.5
1222e36d9a94c2a4,abatement,stone abutments,A47,0
a8c9e9f37d4d836a,abatement,tax abatement,A47,0
c450cc69fa315db9,abatement,water bodies,A47,0
09913d3964d4c881,abatement,emission abatement,A61,0.5
87af8ea095cc18d4,abatement,prevention,A61,0.5
d7bb1ea2b761fef2,abatement,prophylaxis,A61,0.25
f6dfaebab0d209b7,abatement,pollution abatement,A62,0.5
ee25d53aac9ecaf0,abatement,abatement apparatus,C01,0.5
4fd7d0a3b8887846,abatement,treatment,F16,0
506f8d0a6feae789,abatement,abatement apparatus,F24,0.5
473137168ebf7484,abatement,abating,F24,1
56acc49e0f5da095,abatement,central hub,F24,0
bc5af15a01442792,abatement,control panel,F24,0
c652ac20bb14b2b0,abatement,deficiency,F24,0.25
f0b0f0898ec291eb,abatement,diminished chord,F24,0
4bb652c1091f3d1d,abatement,diminished image,F24,0
142436708875e523,abatement,diminishing,F24,0.5
b539d0f45bff2213,abatement,eliminating,F24,0.5
fde22bfb2f89383c,abatement,eliminating emissions,F24,0.25
e490558573ed44ff,abatement,eliminating pollutants,F24,0.5
62dbb14376eb40ac,abatement,increasing,F24,0.25
13b13c212a1756f5,abatement,increasing order,F24,0
8524aecd17299b63,abatement,mitigation,F24,0.25
f1c655d247630730,abatement,pollution control,F24,0.25
6917b6123c373233,abatement,processing unit,F24,0
7ab0bc7f2b94c401,abatement,removing air pollutants,F24,0.5
4d9fb5ff45c8ab1d,abatement,subsiding,F24,0.5
1d4a73e6a5e56a01,abatement,treating emissions,F24,0.5
98a851a58d837fb0,abatement,noise abatement,F28,0.5
09db0a872aa1d88c,abatement,noise abatement,H01,0.5
6bdd1d05ffa3401e,abatement,emission abatement,H04,0.5
8ff16a96af7558f0,abnormal position,abnormal position data,B23,0.5
edfb98a9ff1d471b,abnormal position,attitude,B23,0.25
5fd26b0436ca8d94,abnormal position,closed position shown,B23,0.25
0d32e5f72293247d,abnormal position,condition illustrated,B23,0.25
8aedbf799717e3e7,abnormal position,condition shown,B23,0.25
856cef1a4eefc3aa,abnormal position,data,B23,0.25
285e870def5f465e,abnormal position,information,B23,0.25
903348f5bf47757f,abnormal position,inoperative condition,B23,0.5
89b44fe4b2014455,abnormal position,inoperative position,B23,0.5
bf372a0f3662e295,abnormal position,open as shown,B23,0.25
4d0b732250d2940d,abnormal position,open condition,B23,0.25
611645de95674898,abnormal position,open position,B23,0.25
b4fc3daf3fc2430b,abnormal position,open position illustrated,B23,0.25
392c5b8b62adf22d,abnormal position,open position shown,B23,0.25
0bad0cd5213fb783,abnormal position,orientation,B23,0.25
6445620272b7dd75,abnormal position,position illustrated,B23,0.25
93e12fb8f2b9ff44,abnormal position,position shown,B23,0.25
89f5d02f1f35a796,abnormal position,tip data,B23,0.25
6e89c332c3bc6310,abnormal position,tip information,B23,0.25
7ce7ec17ae212bfd,abnormal position,wear data,B23,0.25
a3d868244b35909c,abnormal position,angular position,B41,0.25
9c0105f34aedca0d,abnormal position,positions,B41,0.5
86f51d5b4f88f1c9,abnormal position,abnormal breathing,D03,0
3c23fa5c3894d9f2,abnormal position,abnormal manner,D03,0.5
80126fcecd1c57c9,abnormal position,abnormal placement,D03,0.75
0ff1349355ce5b66,abnormal position,abnormal posture,D03,0.75
cf244c76da9b3383,abnormal position,abnormal profit,D03,0
3e410ad7a4a355ff,abnormal position,abnormal side,D03,0.75
ba4ffdf9c7abdd05,abnormal position,anomaly scan,D03,0
6756c97d8e854f4e,abnormal position,depression,D03,0.25
bbb1ad23807f952a,abnormal position,deviated from,D03,0.25
f13ef1f56df101a5,abnormal position,engagement,D03,0.25
3db26a1f4e165795,abnormal position,implant positioning,D03,0
24257e1b2f5ff283,abnormal position,irregular configuration,D03,0.5
4f8d18e7ee6f98e9,abnormal position,locked position,D03,0.5
7e1e95ee1391c3c7,abnormal position,locked relationship,D03,0.25
9c1bdf2239b0e910,abnormal position,normal position,D03,0.25
29de10bbd3f15b11,abnormal position,odd position,D03,0.75
57a026611dddb7b9,abnormal position,place,D03,0.25
8fb46bccf1c86c33,abnormal position,position,D03,0.25
7b16ec4481a25536,abnormal position,position isomerism,D03,0
115dcdbc38948359,abnormal position,position vector,D03,0
0e8238c34746f7c4,abnormal position,rare placement,D03,0.25
1ae1c093187e3b73,abnormal position,recess,D03,0
fe30aa28e8d0563a,abnormal position,relative position,D03,0.5
ea12e2954b85c599,abnormal position,relative relationship,D03,0.25
4285cdf2221cc6d5,abnormal position,situation,D03,0.25
f6b53890ef57f9c5,abnormal position,unexpected position,D03,0.75
414373bc5329e819,abnormal position,unison,D03,0
d2304657a1e12333,abnormal position,unusal arrangement,D03,0.5
c4b30e7b8e853b87,abnormal position,unusual manner,D03,0.25
d32b4f6cdf710e0a,abnormal position,abnormal,E03,0.5
20d74695a08952db,abnormal position,abnormal condition,E03,0.75
f8a028167a0aad23,abnormal position,abnormal molar mass,E03,0
eb44d02ca330b2b5,abnormal position,abnormal presentations,E03,0.75
dccdd9c697602fad,abnormal position,abnormal psychology,E03,0
38f53c8ab704b32b,abnormal position,abnormality state,E03,0.75
44eaeb8410af02e2,abnormal position,axial position,E03,0.5
428f5e687590e685,abnormal position,elevation,E03,0.25
2b58116bbba1bef5,abnormal position,emergency condition,E03,0.5
52c33ea0c24771a1,abnormal position,emergency position,E03,0.75
852386d786c57f73,abnormal position,extent,E03,0.25
6de822045200c01a,abnormal position,facing forward,E03,0.75
2908fae62ececec1,abnormal position,failure,E03,0.25
bc109cbe2441d87e,abnormal position,fault position,E03,0.75
2db04a5863b16cdd,abnormal position,fixed failure,E03,0.5
8d8926dbdfc1568e,abnormal position,forward axis,E03,0
99eb846e7f7fdbd6,abnormal position,hardware abnormality,E03,0.5
edd7a8b70dc94f43,abnormal position,hardware manufacturer,E03,0
6e37e1f0890a81b2,abnormal position,inoperative position,E03,0.5
7e2874e997cf0e2b,abnormal position,leakage,E03,0.25
48c4b666af6f1f58,abnormal position,normal position,E03,0.25
afab4895708915b8,abnormal position,open position,E03,0.5
75ac4f9a57e95ec8,abnormal position,operating abnormality,E03,0.5
36b50348c1172fc2,abnormal position,operative position,E03,0.5
25442153418d7486,abnormal position,overflow,E03,0.25
5a291d8d5bd8bd6b,abnormal position,position vector,E03,0
0eec7490003c075a,abnormal position,state name,E03,0
f3d68ae77bb19226,abnormal position,unusual position,E03,0.75
ae1a01517b6386fc,abnormal position,unusual state,E03,0.25
a21de05326bbadb8,abnormal position,upper position,E03,0.5
58e4f0268a24af9b,abnormal position,warning,E03,0.25
76baf8ed4ae57ec1,absorbent properties,adsorbent properties,C08,0.5
fc03dad16ee7e5fb,absorbent properties,cao,C08,0.25
094f2535b2f03691,absorbent properties,characterization,C08,0.25
0b34da85b33b4126,absorbent properties,collateral properties,C08,0
82d4d3492122a3a3,absorbent properties,colligative properties,C08,0
3f0330f3344be46f,absorbent properties,conformational properties,C08,0.25
1c506d121cb6194b,absorbent properties,dehumidifying properties,C08,0.5
92931b055ee01fd5,absorbent properties,elastomeric properties,C08,0
84a195425e7f34d4,absorbent properties,evaporated salt,C08,0.25
1c330c48a33e82b4,absorbent properties,fluorescent properties,C08,0
f7832078c30df1f5,absorbent properties,geometrical properties,C08,0
0e754b806271178a,absorbent properties,housing properties,C08,0
b794d431cea707b3,absorbent properties,hygroscopic,C08,0.5
bf1222d93e59ceca,absorbent properties,hygroscopic properties,C08,0.5
16479a99b5c37673,absorbent properties,ionic compound,C08,0.25
ec050b5360ebba22,absorbent properties,liquid holding capacity,C08,0.5
0eba34ed68ed88b8,absorbent properties,mechanical characteristics,C08,0.25
ef8a6631ccd28df0,absorbent properties,mechanical properties,C08,0.25
7b42f808e08c68b2,absorbent properties,moisture barrier properties,C08,0.5
71ac9fcb07aaec6e,absorbent properties,moisture proof properties,C08,0.5
2cb4f15e5861ea51,absorbent properties,nacl,C08,0.25
762621349ef66ca1,absorbent properties,naoh,C08,0.25
750c20ea1b72078e,absorbent properties,physical properties,C08,0.25
288310ffbde6450d,absorbent properties,properties,C08,0.25
8201115f67ded668,absorbent properties,reusable salt,C08,0.25
437a29c073ccf68e,absorbent properties,soaking properties,C08,0.75
661d7d1d8807fa6b,absorbent properties,absorbency,D01,0.75
621b048d70aa8867,absorbent properties,absorbent characteristics,D01,1
96f015d748e1333a,absorbent properties,absorbing polymer,D01,0.5
e6f92889099fd908,absorbent properties,absorption characteristics,D01,0.75
bc20a1c961cb073a,absorbent properties,absorption properties,D01,1
8a33a8c962cf36f1,absorbent properties,adsorbent properties,D01,0.5
